,date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster
20483091,2014-05-15 16:54:42,2,3,66,174,16634,7441.2888,411402,1,0,9,2015-02-24,2015-02-27,2,0,1,20896,6,0,1,0,63,1258,9
35117924,2014-10-17 11:01:31,2,3,12,921,26044,,95283,0,0,9,2014-10-18,2014-10-19,2,0,1,8240,1,0,6,6,79,16,59
25972771,2014-05-29 12:46:21,2,3,66,352,13586,1386.8679,440169,0,1,9,2014-07-20,2014-07-23,2,2,1,8279,1,0,1,2,50,1230,69
32761844,2014-12-08 19:30:42,2,3,66,348,6782,,758292,1,0,2,2015-01-10,2015-01-11,2,2,1,11361,1,0,1,2,50,591,90
36422885,2014-05-29 10:37:53,2,3,66,392,44584,5078.0436,299988,0,1,5,2014-08-20,2014-08-26,2,0,1,8859,1,0,4,2,50,212,55
8361367,2014-03-31 13:18:53,10,0,182,416,45866,5172.8635,471696,0,0,5,2014-04-24,2014-05-01,2,0,1,8824,1,0,2,4,8,118,92
6402508,2013-02-21 17:07:44,2,3,66,189,19294,4026.5361,982283,0,0,9,2013-05-22,2013-05-25,4,0,2,8808,1,1,1,6,169,28,46
9498272,2014-12-17 15:19:29,2,3,66,220,19416,207.176,666812,1,0,9,2014-12-19,2014-12-21,2,2,1,19543,1,0,2,2,50,548,94
52982,2014-10-01 09:24:24,2,3,179,410,16634,,189722,0,0,3,2014-10-28,2014-10-30,2,0,1,12057,1,0,1,4,146,1517,22
19245560,2013-10-08 13:38:18,27,2,46,336,48498,5474.6097,501510,0,1,9,2014-01-11,2014-01-14,2,0,1,8220,1,0,1,3,182,46,12
31515318,2014-01-09 20:38:39,2,3,66,220,2511,1023.2949,971616,0,0,9,2014-02-18,2014-02-21,2,0,1,11569,1,0,2,2,50,623,79
19562586,2013-07-09 22:08:42,2,3,215,788,20860,149.0681,166591,1,0,9,2013-07-12,2013-07-15,2,0,1,8787,1,0,1,4,8,109,40
34917790,2014-12-01 16:46:14,34,3,205,354,2433,,576207,1,0,9,2014-12-01,2014-12-02,2,0,1,14875,1,0,1,2,198,750,32
24938030,2013-04-02 13:34:46,2,3,66,174,48505,,631966,0,0,9,2013-12-30,2014-01-02,2,4,1,885,3,1,1,2,50,628,88
28803518,2014-04-22 17:27:29,24,2,3,83,22548,,1163110,0,0,9,2015-03-19,2015-03-25,1,0,1,8255,1,0,1,6,77,20,15
24848115,2014-09-28 17:44:53,53,1,69,923,1268,,325995,0,0,3,2015-08-07,2015-08-13,2,2,1,12263,6,0,1,2,50,368,28
30191833,2014-07-14 13:11:49,2,3,66,220,43026,1275.4364,1142613,0,1,9,2014-07-23,2014-07-25,2,2,1,8811,1,0,1,2,198,391,55
13375341,2014-11-24 11:44:32,2,3,66,184,11878,1624.5141,258017,0,1,0,2014-12-03,2014-12-05,1,0,1,24902,6,0,1,2,50,674,33
30471198,2013-02-11 00:47:39,8,4,77,977,43640,,619346,0,0,9,2013-03-12,2013-03-14,4,1,2,12356,5,0,1,3,182,46,77
8835508,2013-02-14 12:31:00,2,3,66,348,26037,2149.9783,815128,0,1,0,2013-02-24,2013-02-28,2,0,1,8272,1,0,3,2,50,659,0
5328522,2014-02-12 08:56:59,2,3,149,290,33116,,549604,0,1,2,2014-04-17,2014-04-25,2,0,1,8253,1,0,3,6,70,19,97
28584999,2013-10-27 01:05:57,34,3,205,135,36086,2544.1966,571427,0,1,9,2014-01-12,2014-01-19,2,1,1,8791,1,0,1,4,8,110,34
12151581,2014-06-19 15:59:56,17,1,133,20,3392,,996088,0,0,5,2014-07-28,2014-07-30,3,0,2,12206,6,0,1,2,50,628,24
1061524,2014-09-15 21:07:17,37,1,65,0,38837,,1064602,0,1,9,2014-10-23,2014-10-27,2,0,1,8739,1,0,1,6,144,4,2
33332931,2014-05-21 10:02:58,2,3,66,174,24103,54.934,61485,0,0,0,2014-05-25,2014-05-26,4,0,1,25331,6,0,2,2,50,366,75
6086247,2013-06-01 05:54:29,2,3,66,348,10388,178.3822,146895,0,0,9,2013-06-11,2013-06-14,1,0,1,8267,1,0,3,2,50,676,55
32037550,2014-09-15 13:15:05,2,3,66,442,35390,2550.734,1161448,0,0,9,2014-09-16,2014-09-17,4,0,4,11814,1,1,1,4,84,1937,80
26882284,2014-10-23 19:09:49,23,1,1,341,10541,376.7436,711681,0,1,0,2014-11-08,2014-11-12,2,0,1,12243,6,0,1,6,204,27,5
23863366,2014-07-10 20:09:52,2,3,66,348,53377,1569.2567,325158,0,0,1,2014-08-15,2014-08-17,2,2,1,8816,1,0,3,4,163,1935,77
24352556,2014-11-17 12:28:31,35,2,70,47,25914,,944607,0,1,9,2014-12-01,2014-12-02,2,0,1,20833,1,0,1,3,182,68,61
16069186,2014-08-01 20:43:13,2,3,66,311,24671,,692087,0,1,3,2014-11-17,2014-11-22,1,0,1,8797,1,0,1,6,144,1450,81
696957,2013-05-14 16:49:22,11,3,205,343,37594,2734.0809999999997,1108350,0,1,9,2013-07-05,2013-07-12,2,0,1,8250,1,0,1,2,50,628,45
31953471,2014-12-23 00:08:04,2,3,66,174,26232,8452.633,922965,0,0,1,2015-01-29,2015-02-01,4,0,1,8803,1,0,1,3,151,69,12
36622275,2013-01-08 18:54:45,8,4,77,401,29226,3422.5046,1041297,0,0,9,2013-01-25,2013-01-28,2,0,1,11271,3,0,1,3,82,231,90
8947732,2013-05-15 16:00:44,8,4,77,871,1865,2798.2497,1186789,0,0,5,2013-10-17,2013-10-24,2,1,1,31484,4,0,1,3,5,1701,62
23242098,2014-09-12 13:24:02,2,3,66,260,2450,478.4208,331176,0,0,3,2014-11-08,2014-11-09,2,0,1,8291,1,0,1,2,50,191,37
21963476,2014-11-09 16:46:03,2,3,66,294,1784,5478.2376,398849,0,0,9,2015-06-21,2015-06-22,2,0,1,8746,1,0,1,6,105,29,64
30931826,2013-01-27 16:08:45,8,4,77,824,32450,,597904,0,0,9,2013-02-22,2013-02-23,1,0,1,12603,5,0,1,2,50,365,16
3195659,2014-11-13 08:57:38,29,1,52,40,29080,,1086759,0,1,0,2014-12-12,2014-12-21,1,0,1,18965,1,0,1,6,77,1410,78
23731223,2014-07-16 23:04:46,2,3,66,363,48454,1505.2588,984695,0,1,9,2015-03-13,2015-03-20,2,0,1,1152,1,0,1,4,47,1502,87
23672986,2014-04-23 06:12:15,2,3,66,337,49510,1573.0677,780963,1,1,7,2014-06-02,2014-06-07,2,0,1,11439,1,0,1,4,163,1503,65
20474855,2014-03-07 20:34:20,2,3,66,153,20706,4189.7884,385068,0,0,4,2014-04-18,2014-04-20,2,0,1,22869,6,0,1,4,93,2085,36
29160116,2013-07-17 16:15:12,34,3,205,354,53713,53.3629,883331,1,0,9,2013-07-20,2013-07-21,2,0,1,14875,1,0,1,2,198,750,19
27750569,2014-07-11 11:24:40,2,3,66,337,35011,51.6152,747616,0,0,2,2014-08-12,2014-08-15,2,0,1,11569,1,0,1,2,50,623,89
15774480,2014-07-27 15:56:02,11,3,205,354,31806,166.3164,1142876,1,0,9,2014-08-16,2014-08-17,3,2,1,25948,6,0,1,2,198,785,28
22058052,2013-01-21 11:30:08,14,1,214,120,44623,,775324,1,1,9,2013-06-07,2013-06-14,4,0,2,20147,1,0,1,6,111,244,76
942979,2013-05-14 12:54:10,2,3,66,337,54093,,710311,0,1,9,2013-08-08,2013-08-11,2,0,2,8825,3,0,1,4,8,111,52
14536945,2014-05-18 21:14:25,2,3,66,174,43471,116.4261,143965,0,0,9,2014-07-05,2014-07-06,2,0,1,11620,1,0,1,2,50,369,21
36744069,2014-10-19 17:52:46,2,3,66,174,8198,343.3146,306971,0,0,9,2014-11-25,2014-11-28,1,0,1,8576,3,1,1,2,50,993,91
29503497,2014-12-18 16:15:38,11,3,205,135,30464,2316.8988,532671,0,1,5,2015-01-09,2015-01-10,2,0,1,12200,6,0,2,2,50,699,77
23693557,2013-03-28 06:52:05,2,3,66,363,51253,256.9433,843284,0,0,9,2013-05-04,2013-05-05,2,0,1,14875,1,0,3,2,198,750,23
18923394,2014-07-24 15:52:10,25,2,23,48,4924,,846266,0,0,1,2014-08-01,2014-08-02,2,0,1,8282,1,0,1,3,126,232,5
1824358,2014-08-25 14:18:48,2,3,66,174,37434,,932008,1,0,9,2014-09-12,2014-09-16,2,0,1,8856,1,0,1,2,50,636,92
35630095,2014-07-05 19:35:39,37,1,69,574,28513,,844405,1,0,1,2014-10-18,2014-10-21,2,0,1,44045,3,0,13,2,50,701,17
26181935,2014-10-10 13:43:31,37,1,69,941,44781,,1052069,0,0,9,2015-01-12,2015-01-16,2,0,1,8279,1,0,1,2,50,1230,83
30134167,2014-04-16 13:52:09,2,3,66,220,5444,1007.185,968764,0,0,3,2014-05-04,2014-05-08,4,0,2,8267,1,0,1,2,50,675,56
35004496,2014-02-20 23:09:00,2,3,66,174,16019,5432.4487,878508,1,0,9,2014-05-31,2014-06-03,2,1,1,12209,6,0,2,6,70,19,33
18196394,2014-11-29 20:03:25,2,3,66,258,22050,537.5184,128736,0,0,9,2014-12-05,2014-12-06,1,1,1,12408,5,0,1,2,50,453,59
32647714,2014-05-28 02:06:05,11,3,93,71,15362,,414110,0,1,9,2014-07-26,2014-08-02,2,0,1,8285,1,0,1,6,21,32,30
7448363,2014-08-15 20:35:00,2,3,66,196,2428,8807.3246,224309,0,0,0,2015-02-03,2015-02-04,2,0,1,12356,5,1,1,3,182,46,57
21392749,2014-09-27 11:47:02,24,2,215,646,51733,6490.003000000001,855433,0,0,3,2014-10-03,2014-10-04,2,0,1,17823,1,0,1,6,105,770,15
10735010,2014-05-10 09:44:09,2,3,66,348,47322,8618.2251,495671,0,0,0,2014-12-01,2014-12-04,1,0,1,8220,1,0,1,3,182,46,57
10277723,2013-08-22 16:16:06,2,3,66,174,22475,252.0894,1139213,0,1,9,2013-12-15,2013-12-17,2,0,1,8250,1,0,4,2,50,628,79
31403938,2014-08-09 21:46:52,2,3,230,395,36062,,676561,0,0,9,2014-09-07,2014-09-10,1,1,1,8284,1,0,4,2,50,685,0
28992150,2014-02-05 17:37:03,37,1,69,778,19573,,453615,0,0,9,2014-02-27,2014-02-28,1,0,1,53494,6,0,1,6,144,1467,78
80639,2014-06-30 23:52:58,2,3,93,71,15362,,326597,0,0,9,2014-07-21,2014-07-22,1,0,1,23765,1,0,1,6,22,1439,30
16141766,2014-04-14 17:04:41,2,3,66,220,35388,16.659000000000002,895626,0,0,0,2014-05-24,2014-05-25,2,0,1,11353,1,0,1,2,50,699,3
18311838,2014-07-18 14:19:49,2,3,66,174,36772,133.0093,442536,0,0,9,2014-07-28,2014-07-29,1,0,1,8278,1,0,1,2,50,368,21
7964122,2014-04-10 08:34:18,2,3,66,226,4859,,482841,0,0,5,2014-04-11,2014-04-13,2,0,1,17563,1,0,12,2,50,1235,42
34144764,2014-07-21 20:57:49,24,2,3,61,33117,,293872,0,0,0,2014-10-30,2014-11-04,1,0,1,8822,1,0,1,3,130,91,90
21990206,2014-10-05 19:18:13,11,3,205,135,15542,1862.8805,518896,0,0,9,2014-11-19,2014-11-26,1,0,1,44192,8,0,1,2,198,384,98
10984704,2014-06-11 08:33:52,2,3,66,321,47535,1287.7225,212671,0,1,9,2014-07-03,2014-07-07,2,0,1,8250,1,0,1,2,50,628,0
848227,2014-08-20 09:51:38,37,1,69,747,20836,,403980,1,1,9,2014-08-22,2014-08-25,1,0,1,18108,1,0,1,6,68,1724,82
5105260,2014-09-08 15:49:59,2,3,66,335,5007,2669.1029,1191256,0,0,0,2014-10-05,2014-10-06,2,0,1,24279,6,0,1,2,50,355,33
23065005,2013-11-21 15:27:28,2,3,103,45,38784,,871191,0,0,0,2013-11-21,2013-11-22,2,0,1,22600,3,0,2,4,13,101,87
19689667,2014-04-02 06:23:43,34,3,205,330,43026,,524376,1,0,9,2014-04-05,2014-04-06,2,0,1,49500,4,1,1,2,198,393,15
35008031,2014-07-16 17:41:49,37,1,69,676,30767,,888494,0,1,9,2014-09-03,2014-09-10,2,0,1,20001,6,0,1,6,105,772,38
16511040,2014-10-02 16:25:43,10,0,182,416,32100,3944.3854,641348,0,0,5,2014-10-07,2014-10-12,2,0,1,11373,1,0,3,4,128,1400,31
33994596,2013-05-11 10:21:42,29,1,52,43,39921,,1006767,0,0,9,2013-07-20,2013-07-22,2,3,1,28510,6,0,3,2,50,1457,70
16338162,2014-11-13 06:01:16,2,3,66,314,45853,172.5194,207212,0,0,2,2014-11-25,2014-11-27,1,0,1,7635,3,0,1,2,50,675,5
18338568,2013-08-10 17:49:01,2,3,66,448,2401,254.9791,499274,0,0,0,2013-08-20,2013-08-23,2,1,1,11319,1,0,1,2,50,681,83
3659301,2014-08-28 21:39:47,37,1,69,541,26490,,1104451,1,0,0,2014-10-23,2014-10-24,1,0,1,23508,6,1,1,6,70,19,28
26179924,2014-05-07 07:35:51,2,3,66,318,27767,559.1415,1046563,0,0,7,2014-06-08,2014-06-11,2,0,1,24897,6,0,2,2,50,675,56
36876364,2013-10-21 09:53:17,2,3,66,311,38374,40.0874,806998,0,0,9,2013-11-01,2013-11-04,2,0,1,8809,1,0,1,2,50,698,68
28587677,2013-08-11 21:57:59,2,3,190,133,27383,,582185,0,0,9,2013-08-16,2013-08-18,2,0,1,8245,1,0,1,6,22,245,67
10824743,2014-06-28 22:42:15,29,1,52,40,29080,,840863,0,1,0,2014-07-12,2014-07-19,2,0,1,8862,1,0,1,6,204,1466,78
21123239,2014-09-04 10:30:22,35,2,70,49,14171,,1195600,0,0,9,2014-09-05,2014-09-10,1,0,1,22704,1,0,1,3,104,63,38
23818751,2014-11-16 10:39:59,2,3,66,348,48862,2562.4339999999997,124182,0,0,9,2014-11-18,2014-11-19,1,0,1,24695,6,0,1,2,50,1241,17
35569848,2014-12-30 22:49:01,2,3,66,174,9444,6038.7468,609673,0,0,9,2015-02-18,2015-02-20,2,0,1,33651,1,1,1,5,194,1528,67
8898042,2013-06-12 13:18:41,2,3,66,174,24103,111.4996,1024046,0,0,1,2013-06-15,2013-06-16,4,2,2,9147,1,0,1,2,50,367,0
35528633,2014-12-05 19:16:30,2,3,66,348,48862,1619.8063,435844,0,1,9,2015-01-16,2015-01-18,1,0,1,8814,1,0,1,4,51,197,0
32326421,2013-03-13 13:53:59,2,3,69,761,41949,,732454,1,0,9,2013-03-19,2013-03-21,2,0,1,23718,6,0,1,6,22,245,64
27426773,2014-12-17 19:36:23,2,3,66,260,120,1041.2205,1048830,0,0,9,2014-12-21,2014-12-25,2,0,1,8260,1,0,1,2,50,701,77
6941433,2014-07-19 06:20:23,24,2,3,50,5703,,5343,0,0,4,2014-11-06,2014-11-10,2,0,1,20225,6,0,1,3,182,46,62
12786217,2014-07-29 07:18:59,34,3,205,354,40193,1635.8733,800046,0,0,5,2014-08-01,2014-08-03,4,0,2,5405,6,0,1,4,8,126,57
15316831,2014-07-14 18:29:12,11,3,205,354,22772,206.2574,1108834,0,0,1,2014-08-12,2014-08-14,1,0,1,14875,1,0,1,2,198,750,47
16773602,2013-07-24 10:43:12,11,3,205,385,46963,0.3577,98526,0,0,0,2013-08-11,2013-08-15,2,0,1,8262,1,1,1,2,198,384,37
13173594,2014-09-23 20:29:52,2,3,66,174,18354,1523.3385,844779,0,1,9,2014-12-21,2014-12-28,3,2,2,8810,1,0,1,4,8,1532,85
238869,2014-05-25 04:15:33,11,3,205,354,16084,337.2719,869462,0,0,9,2014-10-10,2014-10-13,2,0,1,7635,3,0,1,2,50,675,98
11473397,2014-10-07 14:43:37,2,3,66,293,52284,,909952,0,1,9,2015-01-10,2015-01-15,0,0,1,8250,1,0,1,2,50,628,1
3707036,2013-02-17 10:24:06,24,2,3,64,3169,,10427,0,1,4,2013-05-13,2013-05-16,2,0,1,8803,1,0,1,3,151,69,59
18619498,2014-08-07 13:39:33,2,3,66,226,2903,1740.6109,34320,0,0,3,2014-08-20,2014-08-22,2,0,1,8250,1,0,1,2,50,628,1
26494715,2013-08-27 13:42:33,9,1,32,583,9102,,776229,0,0,9,2013-09-19,2013-09-22,1,0,1,19799,6,0,2,3,99,47,46
7412000,2014-10-16 12:37:16,2,3,66,220,15627,,96929,0,0,9,2014-11-18,2014-11-20,1,0,1,8747,1,0,2,3,106,107,97
28391509,2014-06-27 16:54:24,2,3,66,459,20067,,51410,1,0,0,2014-06-29,2014-06-30,3,0,1,12186,6,0,1,2,50,690,21
37176913,2014-04-02 18:11:33,2,3,66,467,6992,,666741,0,0,9,2014-06-07,2014-06-08,2,0,1,30096,4,0,1,2,50,637,68
12876082,2014-04-10 10:27:27,2,3,66,363,12346,1088.8665,1070092,0,0,9,2014-08-10,2014-08-13,2,0,1,12228,6,0,2,2,50,411,37
21020080,2014-01-14 10:20:15,2,3,66,467,55255,137.9559,864707,0,0,9,2014-01-17,2014-01-18,2,0,1,119,1,0,2,2,50,508,32
15355530,2014-03-12 09:10:22,2,3,66,459,52284,1202.8231,246,0,1,2,2014-04-21,2014-04-25,1,1,1,8268,1,0,1,2,50,682,71
36424810,2014-03-29 06:16:13,2,3,66,220,26044,,306449,1,0,0,2014-03-29,2014-03-30,2,0,1,3281,3,0,1,2,50,191,72
34905229,2013-07-29 20:25:29,2,3,1,229,36480,119.4481,538078,0,0,9,2013-07-30,2013-07-31,2,0,2,47096,6,0,1,6,105,1808,36
25117256,2014-09-26 21:41:20,13,1,46,245,37877,451.3121,43843,0,1,9,2014-12-18,2014-12-21,2,0,1,53533,3,0,1,6,70,19,77
5487397,2013-04-22 17:53:41,13,1,46,347,24674,4649.2065,976429,0,0,1,2013-08-25,2013-08-29,2,0,1,11735,1,0,1,4,128,1559,96
9167877,2013-10-24 08:09:38,2,3,66,348,5757,3450.8885,740901,0,0,9,2013-12-26,2013-12-29,3,1,1,53533,3,0,1,6,70,19,21
2366102,2014-07-18 06:38:44,2,3,66,442,35390,347.764,40458,0,0,9,2014-07-27,2014-07-28,1,0,1,42980,1,0,1,2,50,416,91
20424814,2014-07-21 17:42:58,11,3,205,354,12380,4072.5834,248846,0,0,9,2014-08-02,2014-08-04,2,0,1,8785,1,0,1,6,105,809,36
9951721,2014-01-03 07:45:49,2,3,66,331,54953,120.1343,1091250,0,0,9,2014-01-25,2014-01-26,1,0,1,26501,6,0,1,2,50,1519,18
31641125,2013-03-01 17:33:56,11,3,205,354,25315,1067.1662,78064,0,1,9,2013-04-27,2013-05-04,1,2,1,8268,1,0,1,2,50,682,77
18367850,2014-07-26 11:03:56,2,3,66,337,49510,1069.6639,571370,0,1,9,2014-08-23,2014-08-30,2,2,1,11353,1,0,3,2,50,699,6
24514741,2014-05-14 21:54:43,23,1,1,318,2096,916.2693,345216,0,1,9,2014-06-27,2014-07-04,2,0,1,8215,1,0,1,6,208,951,93
4129075,2014-07-20 14:08:14,2,3,66,346,31371,90.2382,1097453,0,0,1,2014-08-26,2014-08-27,2,0,1,718,3,0,1,2,50,510,76
28904094,2014-10-23 21:31:01,2,3,66,331,51464,145.2953,222642,0,0,9,2014-11-03,2014-11-04,2,2,1,263,1,1,1,2,50,455,47
26763867,2014-05-04 08:59:21,2,3,66,258,52031,304.8857,373639,1,0,9,2014-06-20,2014-06-22,2,0,1,26988,6,0,1,2,50,590,31
27760596,2014-11-10 22:52:47,37,1,69,712,38761,,774192,0,1,2,2014-11-14,2014-11-15,1,0,1,30337,1,0,1,6,70,10,68
17905412,2014-07-04 09:38:25,2,3,66,174,47943,141.7219,578264,0,0,0,2014-07-21,2014-07-23,2,0,1,13605,4,0,1,2,50,368,37
23087391,2014-08-20 11:48:07,23,1,1,395,29254,4282.545,971857,0,0,5,2014-09-03,2014-09-07,2,0,1,8267,1,0,2,2,50,675,21
3644471,2013-04-26 07:11:28,11,3,205,354,43201,46.5761,1067156,0,0,9,2013-05-01,2013-05-03,1,0,1,12951,5,0,1,2,198,397,77
9222539,2014-08-14 14:39:39,2,3,66,220,40105,147.3494,925617,0,0,5,2014-08-16,2014-08-17,2,0,1,8268,1,0,1,2,50,682,16
17823287,2014-04-04 15:21:24,2,3,66,174,49660,2382.2352,377513,0,0,9,2014-04-20,2014-04-23,2,2,1,8791,1,0,1,4,8,110,84
27180809,2014-06-08 14:16:37,37,1,185,0,39557,,375068,0,1,9,2015-04-01,2015-04-10,2,0,1,8856,1,0,3,2,50,636,0
30061544,2014-12-19 09:55:19,34,3,205,155,40392,6331.8004,767271,0,0,9,2015-01-15,2015-01-19,2,0,1,8242,1,0,1,3,171,61,5
14802462,2014-11-10 08:06:48,2,3,66,348,48862,113.2769,914181,0,0,9,2014-12-31,2015-01-01,2,0,1,50689,4,0,2,2,50,544,10
22602164,2014-10-11 14:01:16,2,3,66,220,1437,1.3838,327924,0,0,9,2014-11-07,2014-11-09,3,3,2,8268,1,0,2,2,50,682,18
3921385,2014-12-28 16:38:14,23,1,11,38,27588,,535662,0,1,0,2015-01-05,2015-01-10,2,0,1,8253,1,0,1,6,70,19,70
5876222,2013-08-21 07:39:13,2,3,19,62,36062,,802195,0,0,9,2013-08-22,2013-08-23,1,0,1,12225,6,1,1,2,50,701,4
31695171,2014-06-04 18:19:44,34,3,205,135,27655,557.1187,233864,0,0,5,2014-06-21,2014-06-22,1,0,1,1901,1,0,1,2,198,401,93
33336106,2014-12-18 20:28:10,2,3,66,143,53117,397.7771,67826,0,0,9,2014-12-31,2015-01-02,2,0,1,8268,1,0,1,2,50,682,39
34794802,2014-07-10 17:45:35,2,3,66,322,23659,14.6489,142577,0,0,9,2014-07-11,2014-07-12,2,2,1,8283,1,0,1,2,50,414,7
28023885,2014-01-10 16:28:09,2,3,66,462,19687,8148.1357,272102,0,0,9,2014-03-09,2014-03-11,4,0,1,20116,6,0,1,3,5,1701,38
7931009,2014-11-23 12:00:05,2,3,66,174,16008,,370631,0,0,9,2015-01-16,2015-01-19,2,0,1,8250,1,0,2,2,50,628,1
27408679,2014-09-22 21:56:13,8,4,202,268,24361,,1000360,0,0,9,2015-01-17,2015-01-18,1,0,1,20113,6,0,1,3,5,1701,85
34521041,2013-01-17 11:59:11,2,3,66,184,28561,6849.9381,372020,0,0,9,2013-02-03,2013-02-07,1,1,1,8823,1,0,2,3,0,1447,8
2781006,2014-07-11 12:32:10,2,3,66,258,4687,1439.9909,1172935,0,1,9,2014-08-10,2014-08-19,2,1,1,8791,1,0,2,4,8,110,66
25359404,2014-12-25 18:41:58,24,2,194,38,42328,,884115,0,1,7,2015-02-19,2015-02-21,2,2,1,1398,3,0,2,3,141,1240,63
7616746,2013-11-20 04:53:13,2,3,149,290,33116,,699209,0,1,9,2014-01-19,2014-01-25,1,0,1,8788,1,0,1,6,77,2,95
16781846,2013-07-03 06:32:39,11,3,205,135,38749,1711.3495,119438,0,0,0,2013-08-21,2013-08-22,2,0,1,14875,1,0,3,2,198,750,23
14166878,2014-06-18 20:20:25,2,3,66,442,33392,970.0061,264941,0,1,0,2014-08-14,2014-08-16,3,2,1,28537,6,0,1,2,50,585,77
23957185,2014-11-17 16:18:04,9,1,32,583,563,,670060,0,0,5,2014-12-18,2014-12-20,2,0,1,11853,1,1,1,2,50,702,91
28801361,2014-05-24 14:08:42,8,4,77,462,3492,1608.652,1160187,1,0,1,2014-07-25,2014-08-02,2,0,1,59819,6,0,1,3,5,1701,62
10855178,2013-10-01 10:20:51,2,3,66,174,26232,2694.6224,966083,0,1,9,2013-10-02,2013-10-06,1,0,1,8223,1,0,4,2,50,690,56
33191410,2014-07-10 16:53:32,32,1,62,16,5022,,842902,0,0,5,2014-10-01,2014-10-03,3,0,3,8285,1,1,1,6,21,32,25
36397832,2014-05-04 09:22:05,2,3,66,351,28561,500.0599,173978,0,0,0,2014-06-12,2014-06-16,2,0,1,530,1,0,1,2,50,1249,42
4819079,2014-04-13 19:34:33,24,2,3,50,5224,,457127,0,0,1,2014-04-24,2014-04-28,2,0,1,8819,1,0,1,3,168,1242,9
28513213,2014-12-01 06:54:57,2,3,215,646,51733,319.3068,389473,0,1,2,2014-12-26,2015-01-02,2,0,1,21751,1,0,1,4,8,114,82
36820420,2014-08-30 20:05:14,24,2,3,50,20442,,584680,0,0,9,2014-09-12,2014-09-13,1,0,1,12209,6,0,1,6,70,19,75
10275159,2013-07-03 14:27:19,2,3,66,174,46432,84.5999,1131520,0,0,9,2013-07-05,2013-07-06,2,0,1,12826,5,0,3,2,50,1230,33
7619557,2014-08-25 13:30:49,13,1,46,419,51611,508.9888,706679,0,0,5,2014-09-22,2014-09-25,1,0,1,22988,6,1,1,6,70,1908,2
24868713,2014-02-19 03:54:13,2,3,69,10,26750,,393269,0,0,9,2014-06-10,2014-06-11,1,0,1,21790,6,0,1,6,105,29,22
24623047,2014-08-09 07:40:49,24,2,3,50,28697,,735324,0,1,1,2014-10-22,2014-10-25,2,0,1,468,1,0,1,3,48,153,41
